Question,Answer
Who is Momo?,Momo is a male cat.
Who is Momi?,Momi is a female cat.
What is the relationship between Momo and Momi?,Momo and Momi are a couple.
Did Momo and Momi have a child?,"Yes, they did."
What happened to Momo and Momi's child?,Momo and Momi's first child has passed away.
What color is Momo?,Color of Momo is orange.
What color is Momi?,Color of Momi is white.
Can you describe Momo's behavior?,"Momo is cute, friendly, and mischievous."
Can you describe Momi's behavior?,Momi is calm and shy.
What breed is Momo?,Momo is a Persian medium cat.
What breed is Momi?,Momi is a Persian peaknose cat.
How old was Momo when he met Momi?,Momo was 1 year old.
How old was Momi when he met Momo?,Momi was 1 year old.
What type of food does Momo like to eat?,Momo likes to eat wet cat food with fish or chicken flavors.
What type of food does Momi prefer?,Momi prefers dry cat food with seafood flavors.
What is favorite activity for Momo?,Momo likes to climb and explore new areas of the house.
What is favorite activity for Momi?,Momi likes to nap underneath the bench.
How does Momi react to strangers?,Momi is usually shy and cautious around strangers
How does Momo react to strangers?,Momo is curious and friendly towards strangers
How does Momo react to cockroaches?,Momo gets very excited and tries to catch the cockroach if he sees one.
What is Momi's response to a cockroach?,Momi usually avoids cockroaches as she is a bit scared of them.
